movie_ID,movie_URL,movie_title,movie_rating,movie_year,movie_genres,movie_duration,credits_URL,directed_by,written_by,actors
tt0481419,https://www.imdb.com/title/tt0481419,Ouro Negro,6.1,2009,['Drama'],115.0,https://www.imdb.com/title/tt0481419/fullcredits,['Isa Albuquerque'],"['Isa Albuquerque', 'Ana Lúcia Andrade', 'Duba Elia', 'Diana Nogueira']","['Luíza Curvo', 'Fernanda Diniz', 'Chico Díaz', 'Thiago Fragoso', 'Malu Galli', 'Felipe Kannenberg', 'Felipe Latge', 'Danton Mello', 'Maria Ribeiro', 'Walter Rosa', 'Odilon Wagner']"
tt1555149,https://www.imdb.com/title/tt1555149,Tropa de Elite 2: O Inimigo Agora é Outro,8.0,2010,"['Ação', 'Policial', 'Drama']",115.0,https://www.imdb.com/title/tt1555149/fullcredits,['José Padilha'],"['José Padilha', 'Rodrigo Pimentel', 'Bráulio Mantovani', 'José Padilha', 'Bráulio Mantovani']","['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz', 'Maria Ribeiro', 'Seu Jorge', 'Sandro Rocha', 'Tainá Müller', 'André Mattos', 'Pedro Van-Held', 'Adriano Garib', 'Julio Adrião', 'Rodrigo Candelot', 'Emílio Orciollo Netto', 'Charles Fricks', 'Fabrício Boliveira', 'Marcello Gonçalves', 'Pierre Santos', 'William Vita', 'André Santinho', 'Guilherme Belém', 'Ricardo Sodré', 'Marcelo Cavalcanti', ""Bruno d'Elia"", 'Cássio Nascimento', 'Francisco Salgado', 'Gabriel Teixeira', 'Zé Mário Farias', 'Cadu Fávero', 'Victor Fraga', 'Johayne Hildefonso', 'Luca Bianchi', 'Willian J. Shakespeare', 'Jovem Cerebral', 'Chico Melo', 'Deiwis Jamaica', 'Ricardo Pavão', 'Juliana Schalch', 'Rogério Trindade', 'Paulo Giardini', 'Luciano Vidigal', 'Prazeres Barbosa', 'Alexandre Ackerman', ""Marcos 'Kikito' Junqueira"", 'Alfredo Garcês', 'Roney Villela', 'Alexandre Liuzzi', 'Rose Abdallah', 'Marco Túlio Fernandes Filho', 'Paulo Hamilton', 'Thogun Teixeira', 'Ronaldo Reis', 'Márcio Fonseca', 'Rod Carvalho', 'Marcelo Biju', 'Pablo Sobral', 'Dudu Nobre', 'Lucas Laerte', 'Marcelo Assumpção', 'Frederico Lopes', 'Francisco Chao', 'Alexander Bouzin', 'Roberta Arantes', 'Fabíola Ribeiro', 'Samantha Mendes', 'Rafael Serra de Alencar e Souza']"
tt1467388,https://www.imdb.com/title/tt1467388,Nosso Lar,6.4,2010,"['Drama', 'Fantasia']",103.0,https://www.imdb.com/title/tt1467388/fullcredits,['Wagner de Assis'],"['Laura Malin', 'Chico Xavier', 'Wagner de Assis']","['Renato Prieto', 'Fernando Alves Pinto', 'Rosanne Mulholland', 'Inez Viana', 'Rodrigo dos Santos', 'Werner Schünemann', 'Clemente Viscaíno', 'Ana Rosa', 'Othon Bastos', 'Paulo Goulart', 'Helena Varvaki', 'Aracy Cardoso', 'Selma Egrei', 'Nicola Siri', 'Chica Xavier', 'Lisa Fávero', 'César Cardadeiro', 'Amélia Bittencourt', 'Vânia Veiga', 'Aramis Trindade', 'Lu Grimaldi', 'Ana Beatriz Correa', 'Ana Kutner', 'Anna Cotrim', 'André Luiz Miranda', 'Thania Oiticica', 'Cyrano Rosalém', 'Régis de Sóri', 'Gilberto Maciel', 'Luisão Seixas', 'Beatriz Ittah', 'Christina Xavier', 'Gabriel Azevedo', 'Gabriel Scheer', 'Jennifer Oliveria', 'Ana Beatriz Caruncho', 'Pedro Lucas Lopes', 'Alexandre Wacker', 'Luciano Cazz', 'Adriana Mattos', 'Carlos Tenorio', 'Angela Maria Brito', 'Adriano Souza', 'Carlos Eduardo Hack', 'Glauco Fernades Cruz', 'Leo Fabricio Ortiz', 'Luiz Fernando Zamith', 'Adriana Lodi', 'Alaor Rosa', 'Alex Nader', 'Alexandre Giorgi', 'Ana Paula Correa Secco', 'Anacleto', 'Anderson Mello', 'Antonio Karlosouza', 'Ary Rocha', 'Bruno Quaresma', 'Cassiana Saner', 'Cristiane Alves', 'Christiane Amorim', 'Cinara Leal', 'Cláudia Dourado', 'Eduardo Luca', 'Jorge de Castro', 'Julia Lechtman', 'Kedma de A.F. Brazao Teixeira', 'Kika Freire', 'Lavinia Provezano', 'Leo Bastos', 'Leo Castro', 'Lucia de Sa', 'Luis Andrarreis', 'Luiz André Alvim', 'Luiz Machado', 'Marcelo Fonseca', 'Márcio Fonseca', 'Mariah Provezano', 'Michelle Aquino', 'Nara Maciel', 'Nirce Levin', 'Paulo Adolfo', 'Pedro Ismael de O. Neto', 'Ricardo Conti', 'Ruth dos Santos Li Vilela', 'Samytha Nunes', 'Silvio da Hora Alcantara', 'Sophia Ishakewitsch', 'Stefania Corteletti', 'Suzana Saldanha', 'Sylvia de Silva', 'Vavá Torres', 'Ze Pitte', 'Wayne LeGette']"
tt1268204,https://www.imdb.com/title/tt1268204,Lixo Extraordinário,7.8,2010,['Documentário'],99.0,https://www.imdb.com/title/tt1268204/fullcredits,"['Lucy Walker', 'Karen Harley', 'João Jardim']","['Angus Aynsley', 'Andrea Barata Ribeiro', 'Jackie De Botton', 'Miel De Botton', 'Jannat Gargi', 'Hank Levine', 'Peter Martin', 'Fernando Meirelles', 'Emilia Mello', 'Alex Moreno']",['Vik Muniz']
tt1735853,https://www.imdb.com/title/tt1735853,Como Esquecer,6.2,2010,['Drama'],100.0,https://www.imdb.com/title/tt1735853/fullcredits,['Malu De Martino'],"['José Carvalho', 'Sabina Anzuategui', 'Sílvia Lourenço', 'Douglas Dwight', 'Luiza Leite', 'Daniel Guimarães', 'Myriam Campello']","['Ana Paula Arósio', 'Murilo Rosa', 'Natália Lage', 'Arieta Corrêa', 'Bianca Comparato', 'Pierre Baitelli', 'Regina Sampaio', 'Marília Medina', 'Gillray Coutinho', 'Analú Prestes', 'Ana Kutner', 'Ana Baird', 'Lia Racy', 'Miriam Juvino', 'Roberto Lobo', 'Gabriela Bonomo', 'Larissa Honorato', 'Lilly Vieira', 'Leila Mafua', 'Monica de Oliveira', 'Rodrigo Braga']"
tt1234559,https://www.imdb.com/title/tt1234559,Chico Xavier,7.1,2010,"['Biografia', 'Drama']",124.0,https://www.imdb.com/title/tt1234559/fullcredits,['Daniel Filho'],['Marcos Bernstein'],"['Natalia Soutto', 'Nelson Xavier', 'Ângelo Antônio', 'Matheus Costa', 'Tony Ramos', 'Christiane Torloni', 'Giulia Gam', 'Letícia Sabatella', 'Luís Melo', 'Pedro Paulo Rangel', 'Giovanna Antonelli', 'André Dias', 'Cássia Kis', 'Cássio Gabus Mendes', 'Rosi Campos', 'Carla Daniel', 'Ailton Graça', 'Charles Fricks', 'Nildo Parente', 'Bruce Gomlevsky', 'Cadu Fávero', 'Gláucia Rodrigues', 'Luis Serra', 'Daniel Barcellos', 'Thelmo Fernandes', 'Paulo Vespúcio', 'Cynthia Falabella', 'Vya Negromonte', 'Osvaldo Mil', 'Adelaide de Castro', 'Larissa Vereza', 'Anselmo Vasconcelos', 'Ana Rosa', 'Nilvan Santos', 'Jean Pierre Noher', 'Pablo Sanábio', 'Gregório Duvivier', 'Samuel de Assis', 'Andrea Caldas', 'Kika Freire', 'Flávia Guedes', 'Carla Cabé', 'Tânia Costa', 'Cacá Dias', 'Alexandre David', 'Antônio Destro', 'Carlos Mariano', 'Júlio Uchoa', 'Anja Bittencourt', 'Mariana Bassoul', 'Thamirys Spyker', 'Carolina Pavanelli', 'Juliana Bertoni', ""Tião D'Ávila"", 'Maria Helena Pader', 'Renata Imbriani', 'Raul Toledo', 'Pietro Mário', 'Rejane Zilles', 'Cininha de Paula', 'Prazeres Barbosa', 'Gustavo Ottoni', 'Fábio Porchat', 'Leonardo Jabbour', 'Hélio Ribeiro', 'Guilherme Bernard', 'Matheus Guedes', 'André Luiz Frambach', 'Raquel Bonfante', 'Matheus de Sá', 'Victor Navega Mott', 'Helder Clayton', 'Paulo Goulart', 'Laura Cardoso', 'Fernando Eiras']"
tt1442578,https://www.imdb.com/title/tt1442578,Reflexões de um Liquidificador,7.2,2010,"['Comédia', 'Suspense']",80.0,https://www.imdb.com/title/tt1442578/fullcredits,['André Klotzel'],['José Antônio de Souza'],"['Ana Lúcia Torre', 'Germano Haiut', 'Selton Mello', 'Fabiula Nascimento', 'Gorete Milagres', 'Zécarlos Machado', 'Aramis Trindade', 'Marcos Cesana', 'Eduardo Sofiatti', 'Gillray Coutinho', 'Francisco Gaspar', 'Sidney Santiago']"
tt1235548,https://www.imdb.com/title/tt1235548,VIPs,6.6,2010,"['Biografia', 'Drama']",95.0,https://www.imdb.com/title/tt1235548/fullcredits,['Toniko Melo'],"['Mariana Caltabiano', 'Thiago Dottori', 'Bráulio Mantovani']","['Wagner Moura', 'Gisele Fróes', 'Emiliano Ruschel', 'Marcela Falci', 'Heitor Goldflus', 'Cecília Homem de Mello', 'Roger Gobeth', 'Amaury Jr.', 'João Francisco Tottene', 'Norival Rizzo', 'Carlos Grillo', 'Marcelo Szpektor', 'Gigi Monteiro', 'Bia Paganini', 'Dato de Oliveira', 'Davi de Almeida', 'Juliano Cazarré', 'Ricardo Pettine', 'Edmilson Cordeiro', ""Jorge D'Elía"", 'Leco', 'Gabriel', 'Claudinho', 'Fabiana Bento', 'Drika Torres', 'Wilton Andrade', 'Augusto Madeira', 'Leandro Daniel', 'Beto Schultz', 'Tales Penteado', 'Flávio Vaz', 'Felipe Ehrenberg', 'Thiago Dottori', 'Ivi Mesquita', 'Carlos Dias', 'Arieta Corrêa', 'Créo Kellab', 'Márcia de Oliveira', 'Milhem Cortaz', 'Marisol Ribeiro', 'Juliana Helcer', 'Luiz Valcazaras', 'Juliana Schalch', 'Luciana Brites', 'Graziele Grassoni', 'Wendy Wolf', 'Lúcia Bronstein', 'Diana Galantini', 'Maria Eugênia Almeida', 'Fred Steffen', 'Valdir Grillo', 'Renata Laurentino', 'José Negreiros', 'Pablo Sanábio', 'Gustavo Trestini', 'Haroldo Costa', 'Anapaula Csernik', 'Paulo Américo', 'André Pires Martins', 'Fernando Macário', 'Kokada Maurício', 'Daniel Torres', 'Deiwis Jamaica', 'Fernão Lacerda', 'Marcos Melo', 'Beto Naci', 'Débora Aoni', 'Daniel Torres']"
tt1827372,https://www.imdb.com/title/tt1827372,Boca,5.6,2010,"['Ação', 'Biografia', 'Policial']",100.0,https://www.imdb.com/title/tt1827372/fullcredits,['Flavio Frederico'],"['Flavio Frederico', 'Mariana Pamplona']","['Daniel de Oliveira', 'Hermila Guedes', 'Jefferson Brasil', 'Milhem Cortaz', 'Paulo César Peréio', 'Maxwell Nascimento', 'Camilla Lecciolli', 'Juliana Galdino', 'Leandra Leal', 'Claudio Jaborandy', 'Ricardo Leite Agostinho', 'Elder Fraga', 'Daniel Torres']"
tt1054677,https://www.imdb.com/title/tt1054677,As Melhores Coisas do Mundo,7.2,2010,"['Comédia', 'Drama']",100.0,https://www.imdb.com/title/tt1054677/fullcredits,['Laís Bodanzky'],"['Luiz Bolognesi', 'Gilberto Dimenstein', 'Heloisa Prieto']","['Francisco Miguez', 'Denise Fraga', 'Fiuk', 'Zécarlos Machado', 'Gabriela Rocha', 'Caio Blat', 'Renata Bastos', 'Lilian Blanc', 'Maria Eugênia Cortez', 'Célio Cruz Filho', 'Sophia Gryschek', 'Gabriel Illanes', 'Rebeca Lopes', 'Brenda Lígia', 'Gustavo Machado', 'Carlos Mandel', 'Matheus Marchetti', 'Thais Abujamra Nader', 'Rodrigo Pasquale', 'Luccas Perazzio', 'Jairo Perera', 'Paula Pretta', 'Érika Rigonatti', 'Anders Rinaldi', 'Mário Sérgio', 'Paulo Vilhena', 'Luiz Felipe de Castro', 'Gustavo de Magalhães', 'Caio Antônio', 'Fernanda Galvão', 'Júlia Barros']"
tt1564916,https://www.imdb.com/title/tt1564916,De Pernas pro Ar,5.6,2010,['Comédia'],90.0,https://www.imdb.com/title/tt1564916/fullcredits,['Roberto Santucci'],"['Paulo Cursino', 'Marcelo Saback']","['Ingrid Guimarães', 'Maria Paula', 'Bruno Garcia', 'Denise Weinberg', 'Antonio Pedro', 'Cristina Pereira', 'Charles Paraventi', 'João Fernandes', 'Flávia Alessandra', 'Marcos Pasquim', 'Flávio Pardal', 'Rodrigo Candelot', 'Zé Peregrino', 'Juliana Guimarães', 'David Herman', 'Raul Labancca', 'Sérgio Stern', 'Heitor Vignoli', 'Antônio Destro', 'Marcelo Saback', 'Marcela Altberg', 'Henrique Taxman', 'Sérgio Rufino', 'Renan Mattos', 'Núbia Pinheiro', 'Deise Mendes', 'Irene de Oliveira Alves', 'Edi Alexandre', 'Maria Rosa Moreira', 'Carol Catache', 'Malu Bierrenbach', 'Flávia Couto', 'Antonio Joaquim Andrade', 'Eda Nagayama', 'Caren Utino', 'Thereza Ronconi', 'Hani Hallage', 'Rodrigo Oliveira', 'Paula Sandroni', 'Larissa Bracher', 'Sandro Borges', 'Emerson Beraldo', 'Marcelo Flores', 'Ricardo Ferreira', 'Stela Celano', 'Cláudio Torres Gonzaga', 'Alexandre Ackerman', 'João Gomes', 'Vyvian Albouquerque', 'Lula Gonçalves', 'Paulo Aguiar', 'Ada Chaseliov', 'Ricardo Pavão', 'Juraci de Souza', 'Claudia Menezes', 'Ítala Roberta', 'Dani Cavanellas', 'Clarice Silva', 'Cátia Cabral', 'Dilene Prado', 'Marina Magalhães', 'Indrig Medeiros', 'Michel Bercovitch', 'Carlos Vieira', 'Ana Matilde Pinheiro']"
