movie_ID,actors
tt0287616,Neusa Mollon
tt0287616,Pedro Paulo Rangel
tt0287616,Zenaider Rios
tt0287616,Janira Santiago
tt0287616,Antônio Vasconcelos
tt0182734,Eva Wilma
tt0182734,Raul Cortez
tt0182734,Luíza de Franco
tt0182734,Newton Prado
tt0182734,Vera Lúcia
tt0182734,Hiroto Yoshioka
tt0182734,Otelo Zeloni
tt0182734,Consuelo Leandro
tt0182734,Plínio Marcos
tt0182734,Sérgio Hingst
tt0182734,Luely Figueiró
tt0182734,John Herbert
tt0182734,Íris Bruzzi
tt0182734,Walter Forster
tt0182734,Karin Rodrigues
tt0182734,Durval de Souza
tt0182734,Dina Lisboa
tt0182734,Ana Lucília
tt0182734,Gilda Medeiros
tt0182734,Tony Vitali
tt0182734,Zuzima
tt0065831,David Cardoso
tt0065831,Bárbara Fazio
tt0065831,Rosalvo Caçador
tt0065831,Américo Taricano
tt0065831,Deoclides Gouveia
tt0065831,Zuleica Maria
tt0065831,Agnaldo Rayol
tt0065831,Túlio de Lemos
tt0065831,James Alexander
tt0065831,João Batista de Andrade
tt0065831,Luiz Carlos Braga
tt0065831,João R. Camargo
tt0065831,Maria da Conceição
tt0065831,Nestor Alves de Lima
tt0065831,João Calixto de Souza
tt0065831,Romeu de Souza
tt0065831,Juliane Domingues
tt0065831,Rubens Ewald Filho
tt0065831,Otávio Fernandes
tt0065831,Jean Garret
tt0065831,Antônio Leocádio
tt0065831,Antônio Lima
tt0065831,Nivaldo Lima
tt0065831,José Lopes
tt0065831,Claudete Oliveira
tt0065831,Evelize Oliver
tt0065831,Antônio Romano
tt0065831,Hélio Santana
tt0065831,Carlos Santos
tt0065831,Jean Silva
tt0065831,Clemente Viscaíno
tt0195206,Dóris Carvalho
tt0195206,Gigi da Mangueira
tt0195206,Germana de Lamare
tt0195206,Monah Delacy
tt0195206,Laura Figueiredo
tt0195206,Suely Franco
tt0195206,José Galán
tt0195206,Zezinho Gama
tt0195206,Daisy Lúcidi
tt0195206,Angelito Mello
tt0195206,Flávio Migliaccio
tt0195206,Armando Monteiro
tt0195206,Luis B. Neto
tt0195206,Pedro Petersen
tt0195206,Sérgio Ricardo
tt0195206,Marieta Severo
tt0195206,Augusto Cesar Vanucci
tt0195206,Joel Vaz
tt0195206,Ziraldo
tt0187268,José Vasconcelos
tt0187268,Elizabeth Gasper
tt0187268,Mário Benvenutti
tt0187268,Guy Loup
tt0187268,Newton Prado
tt0187268,Augusto Barone
tt0187268,David Cardoso
tt0187268,Older Cazarré
tt0187268,Enoque Batista
tt0187268,Uracy D'Oliveira
