movie_ID,directed_by
tt0260998,Jean Garret
tt0456616,Deni Cavalcanti
tt0241808,José Miziara
tt0084650,Ivan Cardoso
tt0191429,Fauzi Mansur
tt0139440,David Neves
tt0143100,Deni Cavalcanti
tt0279364,Luiz Castellini
tt0203354,Alfredo Sternheim
tt0261111,Ody Fraga
tt0261111,Cláudio Portioli
tt0255552,Jair Correia
tt0255552,Hélio Porto
tt0186346,Antônio Calmon
tt0194885,Francisco Ramalho Jr.
tt0197845,Inácio Araújo
tt0197845,Antonio Meliande
tt0197845,Carlos Reichenbach
tt0254616,José Antonio Garcia
tt0254616,Ícaro Martins
tt0084134,Fábio Barreto
tt0424038,Tony Vieira
tt0477951,Julius Belvedere
tt0084083,Joaquim Pedro de Andrade
tt0235220,Paulo Sérgio de Almeida
tt0241472,Ody Fraga
tt0241472,Antonio Meliande
tt0438256,Adnor Pitanga
tt0237923,Levi Salgado
tt0084529,Roberto Farias
tt0242103,Antonio Meliande
tt0182478,Júlio Bressane
tt0242117,Mário Vaz Filho
tt0242117,Antonio Meliande
tt0242117,Cláudio Portioli
tt0078769,Carlos Reichenbach
tt0459016,Tony Rabatoni
tt0260894,John Doo
tt0195291,Sergio Rezende
tt0287909,Tony Vieira
tt0254853,Ary Fernandes
tt0279302,Luiz Castellini
tt0279302,Mário Vaz Filho
tt0385648,Bentinho
tt0241211,Marco Altberg
tt0242030,John Herbert
tt0240856,Clery Cunha
tt0203293,Alfredo Sternheim
tt0444109,Juan Bajon
tt0139961,Ana Carolina
tt0260888,John Doo
tt0203819,Alfredo Sternheim
tt0399285,Renato Tapajós
tt0140604,Jean Garret
tt0201270,J.B. Tanko
tt0477962,Carlos Brajsblat
tt0241849,Antonio Meliande
tt0139693,J.B. Tanko
tt0085575,Bruno Barreto
tt0493730,Walter Wanni
tt0260827,David Cardoso
tt0279223,Conrado Sanchez
tt0143837,Neville de Almeida
tt0442555,Francisco Cavalcanti
tt0254625,José Antonio Garcia
tt0254625,Ícaro Martins
tt0373702,Juan Bajon
tt0329586,Fauzi Mansur
tt0190948,Fauzi Mansur
tt0456533,José Adalto Cardoso
tt0456585,Ubiratan Gonçalves
tt0363497,Francisco Cavalcanti
tt0242056,Antonio Meliande
tt0256762,Ozualdo Ribeiro Candeias
tt0087473,Walter Lima Jr.
tt0085572,Jeremias Moreira Filho
tt0241854,Cláudio Cunha
tt0273422,Deni Cavalcanti
tt0486893,Mauricio de Sousa
tt0186157,Antônio Calmon
tt0458632,Mário Vaz Filho
tt0261074,Adnor Pitanga
tt0274949,Alfredo Sternheim
tt0085216,Hugo Carvana
tt0254811,Ary Fernandes
tt0275307,Manoel Paiva
tt0241344,Antonio Meliande
tt0131398,Guilherme de Almeida Prado
tt0139895,Oswaldo Caldeira
tt0279198,Afrânio Vital
tt0140477,João Batista de Andrade
tt0186437,Tizuka Yamasaki
tt0424002,Tony Vieira
tt0184325,Carlos Coimbra
tt0493645,Arlindo Barreto
tt0335389,Alfredo Sternheim
tt0335389,José Vedovato
tt0139095,Daniel Filho
tt0279458,Francisco Cavalcanti
tt0275337,Jean Garret
tt0138525,Carlos Gerbase
tt0145432,José Celso Martinez Corrêa
tt0145432,Noilton Nunes
tt0275357,Pedro Mawashe
tt0260010,Roberto Mauro
tt0486871,Dorival Coutinho
tt0443186,Rubens da Silva Prado
tt0260209,J. Marreco
tt0458915,Tony Rabatoni
tt0241205,Victor Lustosa
tt0241205,Dedé Santana
tt0086469,Del Rangel
tt0279346,Fauzi Mansur
tt0091816,Carlos Diegues
tt0261395,John Doo
tt0438833,Luiz Castellini
tt0134402,Eduardo Coutinho
tt0423104,Alberto Salvá
tt0441480,Francisco Cavalcanti
tt0146479,Lael Rodrigues
tt0259301,Carlos Reichenbach
tt0147099,Carlos Alberto Prates Correia
tt0254312,José Antonio Garcia
tt0254312,Ícaro Martins
tt0139837,Walter Hugo Khouri
tt0278960,Oswaldo de Oliveira
tt0332433,Ody Fraga
tt0087709,Nelson Pereira dos Santos
tt0133131,Murilo Salles
tt0495131,Nello De Rossi
tt0279145,Francisco Cavalcanti
tt0279225,Jean Garret
tt0140654,Adriano Stuart
tt0139657,Victor Lustosa
tt0139657,Dedé Santana
tt0277315,Jair Correia
tt0494046,Rubem Rey
tt0495204,Diogo Angélica
tt0332254,José Miziara
tt0445775,Hércules Breseghelo
tt0136700,Reginaldo Faria
tt0188124,Miguel Faria Jr.
tt0274332,Adélia Sampaio
tt0451801,Agenor Alves
tt0139210,Dedé Santana
tt0275314,Tony Rabatoni
tt0275314,Pio Zamuner
tt0448460,Afrânio Vital
tt0458860,Vital Filho
tt0296689,Silvio Tendler
tt0441413,Francisco Cavalcanti
tt0133257,Giba Assis Brasil
tt0133257,Carlos Gerbase
tt0494030,Célio Gonçalves
tt0423491,Pio Zamuner
tt0137284,Paulo Thiago
tt0163540,Denoy de Oliveira
tt0273706,Custódio Gomes
tt0273706,Fauzi Mansur
tt0138599,Werner Schünemann
tt0778787,José Rady
tt0275347,Deni Cavalcanti
tt0253660,Dilma Lóes
tt0242094,Astolfo Araujo
tt0242094,Oswaldo de Oliveira
tt0346517,Luiz Gonzaga dos Santos
tt9323222,Henrique de Freitas Lima
tt0458108,Ulisses Alves
tt0089424,Hector Babenco
tt0279222,Conrado Sanchez
tt0088703,Oswaldo de Oliveira
tt0089297,Suzana Amaral
tt0086871,Bruno Barreto
tt0142125,Ivan Cardoso
tt0142125,John Herbert
tt0778767,Francisco Magaldi
tt0778767,Carlos Nascimbeni
tt0778767,Renato Pitta
tt0159427,Antonio Carlos da Fontoura
tt21806612,David Cardoso
tt21806612,Mário Vaz Filho
tt0091686,Ruy Guerra
tt0138596,André Klotzel
tt0145685,Júlio Bressane
tt0140296,Ugo Giorgetti
tt0088906,Walter Lima Jr.
tt0088756,Zelito Viana
tt0241456,Marco Altberg
tt14589810,Clery Cunha
tt0458035,Ubiratan Gonçalves
tt0088731,Sergio Amon
tt0252239,Francisco de Paula
tt0281931,Luiz Castellini
tt0248595,José Joffily
tt0197759,Ipojuca Pontes
tt0274349,Erasto Filho
tt0282225,José Sette
tt0089896,Fábio Barreto
tt0139662,Dedé Santana
tt0296611,Schubert Magalhães
tt0374316,Levi Salgado
tt0457858,Milton Alencar
tt0260231,Gilberto Loureiro
